clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales,debt_ltd_com_eq_interaction,sale_assets_curr_interaction,sale_debt_interaction,ebitda_sales_interaction
3,B98B3S-R,908.898,0.723862755,248.329,0.636847167,13.384,6.013167847,-188.206,0.505567341,36.13,0.0,397.821,125.547032223189,361578.71125800005,98790.49110900001,5324.436264000001
6,B98B3S-R,1024.770202,0.616231575,297.9068995,1.017654477,11.77921509,6.090285406,-172.3255541,0.997477932,52.06122226,0.0,92.92491906,297.15555804179183,95226.68807594983,27682.974523453053,1094.5826088285805
3,BB8QX4-R,16.252,2.229355281,3.104,0.207445031,2.032,3.172678786,-2.044,0.133826805,2.537,0.043428043,32.803,0.41539840272,533.1143559999999,101.820512,66.65569599999999
6,BB8QX4-R,17.798,2.137384412,3.97,0.252592734,4.238,3.061512534,-2.001,0.126272784,1.738,0.154131946,36.406,0.50130295248,647.9539879999999,144.53182,154.28862800000002
3,BBBZ57-R,3.274,4.945619335,0.064,0.007191011,-2.089,6.013167847,-0.283,0.0,-1.794,-0.2895422,1.319,0.0,4.3184059999999995,0.084416,-2.755391
6,BBBZ57-R,0.646,0.964179104,0.0,0.0,-2.82,6.090285406,-0.099,0.0,-2.143,-0.530423495,1.011,0.0,0.653106,0.0,-2.8510199999999997
3,BBF6FB-R,0.330195145,0.519173419,0.0,0.0,-0.35482,6.013167847,0.000400036,0.0,-0.276302455,-0.671508481,0.0,0.0,0.0,0.0,-0.0
4,BBF6FB-R,0.107054393,0.160905064,0.0,0.0,-0.2768,6.090285406,-0.001031319,0.0,-0.206675483,-1.229033766,0.0,0.0,0.0,0.0,-0.0
3,BC2JKS-R,2.269817,4.028104952,0.0,0.0,-1.027227,50.73342146,-0.068273,0.0,-1.037781,-0.564896979,0.960801,0.0,2.180842443417,0.0,-0.9869607288269999
4,BC2JKS-R,14.971,18.0156438,8.492356307,0.127926584,-3.499,37.06928722,-0.145,0.064841377,-3.022,-0.245775089,1.154,0.5506560769205148,17.276533999999998,9.800179178277999,-4.037846
