clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales
5,SGF9FK-R,32.226,1.716864888,38.014,199.026178,-0.139,6.090285406,-32.815,87.08900524,-1.34,0.0,1.03
2,SMVB0C-R,6.597744651,1.133476857,2.886681115,-1.744186047,-16.43972157,6.013167847,-0.1262337,-1.583017847,-15.53830167,-10.00403409,0.0
4,T43RG5-R,7.407932,113.4498063,1.189584,0.190221711,-1.02299,6.013167847,0.0,0.190221711,-0.924837,-0.137438527,0.4391888
1,TN29K5-R,25.86766817,0.856238043,93.21087384,-114.6313719,38.67986996,7.274356842,-9.792890987,-88.30316972,21.93739747,0.337782156,95.21443999
3,TSMLJ8-R,1.119280149,0.207570208,0.700830316,-1.610084034,-3.545822915,6.013167847,-4.037104807,-0.36302521,-3.185546288,12.98570039,0.0
1,TTWSD5-R,26.8092326,1.539854031,337.476,-31.23620881,7.382,6.013167847,-4.931,-31.05775639,63.86,0.0,165.202
1,V2GPT0-R,4574.0,1.913807531,20792.0,-15.70392749,272.0,122.5185185,-3382.0,-14.4070997,-608.0,-0.027349404,1175.0
5,V4QWNW-R,12394.01587,1.565370045,6640.330663,0.410371174,298.6693338,6.013167847,-931.879514,0.37776607,1288.255194,0.0,43648.61258
1,V5XC73-R,167.1,1.268792711,470.1,-53.42045455,118.2,22.94166667,-18.8,-51.39772727,107.9,0.210857763,505.1
2,VS8BXL-R,26.8092326,1.539854031,3726.910275,3.045674658,93.26593252,1710.915191,322.2977432,1.856295857,128.5915748,0.0,351.6188057
5,VT97C4-R,9506.0,0.963022997,126113.0,11.27418201,232.0,6.013167847,-72.0,11.15438283,1129.0,0.0,7728.0
5,VT97C4-R,7652.0,0.208802903,121609.0,10.26842861,284.0,6.090285406,-949.0,7.617659485,2032.0,0.0,7938.0
2,W2JHR7-R,185.961447,0.408025682,657.3027543,0.751694135,332.0454372,1066.635043,-63.63294422,0.691792855,334.8527726,0.172989753,696.2972536
2,W9N4D4-R,0.144182,0.621994254,0.0,0.0,-2.51536,6.013167847,-1.027925,0.0,-1.039035,-20.63868194,0.0
6,WL6WR1-R,89.79438148,0.275205858,295.5989516,382.4011461,9.862549822,4.227679948,-27.34668393,0.261700096,34.87083934,-0.343234003,56.98377079
4,WMMQQK-R,35.77904734,69.40195634,0.476494813,0.012908753,-6.425153972,6.013167847,-1.251940281,0.011883598,-5.735980142,-0.175665893,0.0
4,WV082K-R,142.822,388.1032609,0.447,0.001990914,3.195,6.013167847,0.0,0.001728131,1.609136544,0.014197128,0.0
3,WVY4DX-R,2.928,0.682199441,0.82,-1.318327974,-2.743,6.013167847,-0.155,-0.34244373,-1.031,7.740831296,24.376
4,WVY4DX-R,3.947,1.232667083,0.213,0.190689346,-7.863,9.751408186,-0.192,0.0,-8.28,-7.734109221,25.456
4,X55TYQ-R,225.227,274.3325213,0.0,0.0,0.0,6.013167847,0.0,0.0,1.609136544,0.0,0.0
3,XJQG0B-R,8.481,1.027750848,2.201,-0.180380266,-7.819,6.013167847,0.397,-0.150712998,-8.041,-7.144473455,14.228
