clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales
6,CSLBZH-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
2,RNQ5S2-R,1105.1,0.453746664,6980.6,13.58622032,1225.8,1678.307692,-565.4,11.55916699,969.5,0.004840093,2480.2
6,P8QTTT-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
3,MZDQ67-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572
4,X9YT5L-R,44.412,5.814611155,0.0,0.0,-57.671,9.512195122,-0.033,0.0,-41.004,-1.563945946,0.0
5,KHS6Z8-R,363035.0,1.355402232,104767.0,2.698441726,905.0,6.013167847,34203.0,1.48755822,-25339.9,0.0,14240.0
3,XHL7W9-R,389.4802297,6.285714286,33.21262665,0.046487815,-13.80273423,1.8232314,-35.63756803,0.035255081,39.53664549,-0.08092162,488.1644985
1,Q1KZKH-R,743317.0,1.874469169,171373.0,2.965854418,1673.0,6.090285406,-27695.0,1.666015178,15102.0,0.0,27313.0
2,DCX90B-R,42.02989304,24.81815132,1.893993463,0.046947696,-3.530114716,6.090285406,-0.841252477,0.047093396,-1.292140606,-0.099901953,9.534506561
5,CMX879-R,3791.5,1.421261761,2707.2,1.410661247,948.8,6.693875987,-395.1,1.033609504,748.7,0.159463663,10111.1
5,R033YB-R,10525.0,0.178127168,5389.0,0.492460934,93.0,6.090285406,133.0,0.49618539,-169.0,0.0,19360.0
1,CGF31Z-R,14609.92816,0.702276213,24912.69401,1.502684088,9782.061424,6.56227944,-3075.909142,1.321739639,6718.184342,0.196028846,45072.08131
1,GDLPN9-R,41953.56049,1.159910186,25575.69493,0.938348186,11563.98993,7.391256539,-2112.987596,0.671433222,8169.1038,0.117799137,147819.6969
6,QSB185-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
4,M03GGD-R,20.515,9.049404499,0.231,0.012453502,-6.451,6.090285406,-0.069,0.005660683,-5.449,-0.354990887,1.158
6,BFG30Z-R,927.947,0.3807815,298.381,1.485376769,5.025,6.090285406,37.688,0.248268858,37.492,0.0,105.406
6,FBF039-R,32.226,1.716864888,7.362,0.067052844,35.794,6.090285406,-2.653,0.065453926,33.71,0.0,77.471
3,BXNGHT-R,9.455,2.75495338,3.74,0.376826196,-5.237,6.013167847,-2.513,0.27163728,-3.481,-0.541692889,11.82
4,BBF6FB-R,0.107054393,0.160905064,0.0,0.0,-0.2768,6.090285406,-0.001031319,0.0,-0.206675483,-1.229033766,0.0
6,NNP11C-R,49.76041936,2.601636686,11.71545646,0.064334077,75.98175696,4.194379715,-49.94241777,0.07628577,51.84817843,0.131470837,146.7741098
6,VY4P68-R,8.779726383,0.071385661,119.9666448,0.590307041,-0.83881,6.090285406,0.0,0.0,1.8833235,-0.004127443,0.0
2,W2JHR7-R,185.961447,0.408025682,657.3027543,0.751694135,332.0454372,1066.635043,-63.63294422,0.691792855,334.8527726,0.172989753,696.2972536
2,W9N4D4-R,0.144182,0.621994254,0.0,0.0,-2.51536,6.013167847,-1.027925,0.0,-1.039035,-20.63868194,0.0
3,THHSNC-R,26.8092326,1.539854031,0.0,0.0,-0.17899,6.013167847,-0.354823068,0.0,-0.102120738,0.0,0.0
6,KHXPHG-R,98.6717856,2.308739441,7.592749825,0.082845957,13.60426692,2.859128082,10.95467004,0.050728675,4.068191879,0.082156503,101.8233162
1,D2VYMJ-R,46.097,0.238174463,216.706,-8.14929302,2.785,26.82684426,-3.677,-7.4311071,30.413,-0.117857533,129.088
2,G0XJYF-R,23.7218059,20.32258065,0.152091255,0.005102294,-1.000513817,5.523433718,-0.115610815,0.002590996,1.601100718,-0.055258159,6.393496192
